qid,Lpt,P17,P20,P22,P23,P24,P21,P25,P2,P4,P3,P5,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P26,qal9,qal10,P27,P6,P33,P48,qal12,qal9,qal10,P48,qal12,qal9,qal10,P48,qal12,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P50,qal52,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P8,qal12,qal9,qal10,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57,P56,qal9,qal10,qal57
,António Pusich,António Pusich,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,António Xavier Crato,António Xavier Crato,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Augusto Lacerda de Carvalho,Augusto Guilherme Lacerda de Carvalho,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Augusto Pereira Sarmento,Augusto Henriques de Morais Pereira Sarmento,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Augusto Nunes de Carvalho,Augusto Luís Nunes de Carvalho,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Augusto de Miranda Montenegro﻿,Augusto Pinto de Miranda Montenegro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Cristiano de Sena Barcelos,Christiano José de Senna Barcellos,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Claudino de Sousa e Faro﻿,Claudino Augusto Carneiro de Sousa e Faro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Inácio Piedade Vasconcelos,Inácio da Piedade Vasconcellos,Ignacio da Piedade Vasconcellos,André Duarte de Vasconcellos,D. Antónia de Andrade Gouvea e Miranda,NULL,NULL,NULL,1676,"Santarém, Santarém, Portugal",1747,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,masculino,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Inácio Vieira,NULL,Ignacio Vieira,Luiz Vieira Garcia ,Maria da Silva Machado,NULL,NULL,NULL,1678,"Lisboa, Lisboa, Portugal",1739,"Lisboa, Lisboa, Portugal","Lisboa, Lisboa, Portugal",NULL,NULL,"Coimbra, Coimbra, Portugal",NULL,NULL,"Roma, Roma, Portugal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,masculino,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mestre primeira classe,Colégio de Santo Antão,NULL,NULL,Lente de matemática,Colégio de Santo Antão,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,Lente de matemática,Colégio de Jesus de Coimbra,1701,1704,Lente de matemática,Colégio de Santo Antão,1709,1720,Reitor,Colégio de São Patrício,NULL,NULL,Reitor,Colégio de Santo Antão,1734,1737,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,António José Vaz Velho,António José Vaz Velho,NULL,Veríssimo José dos Santos,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Luís Serrão Pimentel,Luís Serrão Pimentel,NULL,NULL,NULL,NULL,"Ana Maria Pimentel, Manuel Pimentel e Villas Boas",NULL,1613,"Lisboa, Lisboa, Portugal",1678,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Manuel Godinho Erédia,Manuel Godinho Erédia,NULL,NULL,NULL,NULL,NULL,NULL,1563,"Malaca, Malásia",1623,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Pedro Nunes,Pedro Nunes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,Diogo Madeixa,Diogo Madeixa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Feitor, prefeito e superintendente das obras",Fortaleza de Mascate,1611,NULL,NULL,NULL,0000-00-00T00:00:00Z,0000-00-00T00:00:00Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
